Label ID,Tanggal,Kadaluarsa,Supplier,No GRN / SJ,Kode,SKU,Varian,Qty per dus,Kode dus,Dus ke,Total dus,Lokasi,Zona,Status,PIC,Catatan
,14-04-2026,09-11-2027,MEEPLUS,GRN-2604-01,1061,MC01,WHITE,25 BOX,MC01-1W,,1,G1-B4-S02,HIJAU,READY,MEEPLUS,Cek ulang isi dus
,15-04-2026,,SINAR JAYA,GRN-2604-02,1061,MC01,BLACK,25 BOX,MC01-1B,,2,G2-C2-S05,HIJAU,PENDING,RUDI,
,15-04-2026,,SINAR JAYA,GRN-2604-02,1061,MC01,BLACK,25 BOX,MC01-2B,,2,G2-D1-S06,KUNING,NEW,RUDI,
,16-04-2026,,ANUGRAH MANDIRI,GRN-2604-03,1062,MC02,WHITE,113 PCS,MC02-1W,,3,,KUNING,NEW,SITI,
,16-04-2026,,ANUGRAH MANDIRI,GRN-2604-03,1062,MC02,WHITE,113 PCS,MC02-2W,,3,,MERAH,HOLD,SITI,
,16-04-2026,,ANUGRAH MANDIRI,GRN-2604-03,1062,MC02,WHITE,113 PCS,MC02-3W,,3,,NEW,RUSAK,SITI,
,17-04-2026,30-11-2027,CAHAYA LOGISTIK,GRN-2604-04,1063,MC03,IVORY,96 PCS,MC03-1I,,4,G4-F2-S11,MERAH,HOLD,BAGAS,
,17-04-2026,30-11-2027,CAHAYA LOGISTIK,GRN-2604-04,1063,MC03,IVORY,96 PCS,MC03-2I,,4,G4-F3-S12,NEW,RUSAK,BAGAS,
,17-04-2026,30-11-2027,CAHAYA LOGISTIK,GRN-2604-04,1063,MC03,IVORY,96 PCS,MC03-3I,,4,G4-A1-S13,HOLD,READY,BAGAS,
,17-04-2026,30-11-2027,CAHAYA LOGISTIK,GRN-2604-04,1063,MC03,IVORY,96 PCS,MC03-4I,,4,G4-B4-S14,HIJAU,READY,BAGAS,
,18-04-2026,,MEEPLUS,GRN-2604-05,1071,TP18,NATURAL,18 TPL,TP18-1N,,1,G1-F3-S14,NEW,RUSAK,MEEPLUS,
,19-04-2026,,SINAR JAYA,GRN-2604-06,1072,TP19,OAK,18 TPL,TP19-1O,,2,,HOLD,READY,RUDI,Cek ulang isi dus
,19-04-2026,,SINAR JAYA,GRN-2604-06,1072,TP19,OAK,18 TPL,TP19-2O,,2,,HIJAU,READY,RUDI,
,20-04-2026,21-12-2027,ANUGRAH MANDIRI,GRN-2604-07,1088,KB44,BIRU,40 PCS,KB44-1B,,3,G3-B4-S20,HIJAU,READY,SITI,
,20-04-2026,21-12-2027,ANUGRAH MANDIRI,GRN-2604-07,1088,KB44,BIRU,40 PCS,KB44-2B,,3,G3-C2-S01,HIJAU,PENDING,SITI,
,20-04-2026,21-12-2027,ANUGRAH MANDIRI,GRN-2604-07,1088,KB44,BIRU,40 PCS,KB44-3B,,3,G3-D1-S02,HIJAU,NEW,SITI,
,21-04-2026,,CAHAYA LOGISTIK,GRN-2604-08,1089,KB45,HIJAU,40 PCS,KB45-1H,,4,G4-C2-S03,HIJAU,PENDING,BAGAS,
,21-04-2026,,CAHAYA LOGISTIK,GRN-2604-08,1089,KB45,HIJAU,40 PCS,KB45-2H,,4,G4-D1-S04,HIJAU,NEW,BAGAS,
,21-04-2026,,CAHAYA LOGISTIK,GRN-2604-08,1089,KB45,HIJAU,40 PCS,KB45-3H,,4,G4-F2-S05,KUNING,HOLD,BAGAS,
,21-04-2026,,CAHAYA LOGISTIK,GRN-2604-08,1089,KB45,HIJAU,40 PCS,KB45-4H,,4,G4-F3-S06,MERAH,RUSAK,BAGAS,
